,Бюджет 2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,январь,,февраль,,март,,апрель,,май,,июнь,,июль,,август,,сентябрь,,октябрь,,,ноябрь,,декабрь,,ИТОГО,,,план,
,источник доходов,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,,план,факт,план,факт,план,факт,,доход,
,зарплата,240 000,200 000,240 000,200 000,280 000,200 000,300 000,200 000,,200 000,250 000,200 000,200 000,200 000,,300 000,,300 000,,450 000,,,300 000,,300 000,1 510 000,3 050 000,,2 880 000,
,консалтинг,100 000,20 000,100 000,0,100 000,0,100 000,2 000,,12 287,100 000,,100 000,85 100,,24 430,,359 000,,266 348,,,,,,600 000,769 165,,1 200 000,
,прочее,,0,,0,,,,10 000,,150 000,100 000,66 000,100 000,,,,,70 000,,162 000,,,,,32 000,200 000,490 000,,,
,подарки,,,,,,,,20 000,,,,,,,,,,,,500 000,,,,,,0,520 000,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,
,ИТОГО,340 000,220 000,340 000,200 000,380 000,200 000,400 000,232 000,0,362 287,450 000,266 000,400 000,285 100,0,324 430,0,729 000,0,1 378 348,,0,300 000,0,332 000,2 310 000,4 829 165,,4 080 000,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ДЕЛЬТА,16 000,-83 721,95 500,-55 476,83 000,-81 116,102 000,-88 609,0,-29 707,72 800,-54 662,43 239,25 658,0,103 741,0,184 667,0,549 493,,0,-3 866,0,-75 162,412 539,393 897,,,
,Общая таблица учета и планирования расходов на год,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,январь,,февраль,,март,,апрель,,май,,июнь,,июль,,август,,сентябрь,,октябрь,,,ноябрь,,декабрь,,ИТОГО,,,план на год,
,статья расходов,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,план,факт,,план,факт,план,факт,план,факт,,расхoд,
,ПРОДУКТЫ,35 000,37 492,30 000,27 246,30 000,29 916,30 000,33 252,,46 260,35 000,29 300,35 000,39 000,,32 492,,31 709,,42 778,,,41 023,,25 443,195 000,415 911,,35 000,420 000
